Exec Time,Qty,Symbol,Type,Net Price,Net Position
2021-07-01 07:39:41,-100,ATHE,STOCK,2.4301,-243.01
2021-07-01 07:39:37,-100,ATHE,STOCK,2.46,-246.0
2021-07-01 07:38:43,100,ATHE,STOCK,2.5199,251.98999999999998
2021-07-01 07:38:42,100,ATHE,STOCK,2.5177,251.77
2021-07-01 07:34:04,-110,ATHE,STOCK,2.48,-272.8
2021-07-01 07:33:39,100,ATHE,STOCK,2.5399,253.98999999999998
2021-07-01 07:33:23,10,ATHE,STOCK,2.515,25.150000000000002
2021-07-01 07:10:14,-2,MRIN,STOCK,17.81,-35.62
2021-07-01 07:08:05,2,MRIN,STOCK,18.27,36.54
2021-07-01 07:05:34,-5,MRIN,STOCK,18.06,-90.3
2021-07-01 07:05:09,5,MRIN,STOCK,18.3,91.5
2021-07-01 07:01:10,-5,MRIN,STOCK,18.02,-90.1
2021-07-01 07:00:23,5,MRIN,STOCK,17.78,88.9
2021-07-01 06:47:17,-5,MEDS,STOCK,8.296,-41.48
2021-07-01 06:46:20,5,MEDS,STOCK,8.596,42.980000000000004
2021-07-01 06:38:40,-15,MEDS,STOCK,8.93467,-134.02005
2021-07-01 06:35:43,10,MEDS,STOCK,8.98,89.80000000000001
2021-07-01 06:35:20,5,MEDS,STOCK,8.95,44.75
2021-07-01 06:35:19,-1,BLIN,STOCK,6.16,-6.16
2021-07-01 06:34:15,1,BLIN,STOCK,6.54,6.54
2021-06-30 07:39:40,-1,CUEN,STOCK,8.42,-8.42
2021-06-30 07:35:39,1,CUEN,STOCK,8.5,8.5
2021-06-30 06:59:24,-1,CUEN,STOCK,8.17,-8.17
2021-06-30 06:58:17,-10,CUEN,STOCK,8.37,-83.69999999999999
2021-06-30 06:57:59,10,CUEN,STOCK,8.558,85.58
2021-06-30 06:56:50,1,CUEN,STOCK,8.25,8.25
2021-06-30 06:45:44,-5,CUEN,STOCK,8.65,-43.25
2021-06-30 06:45:28,5,CUEN,STOCK,8.69,43.449999999999996
2021-06-30 06:40:40,-10,CUEN,STOCK,8.76,-87.6
2021-06-30 06:40:15,10,CUEN,STOCK,8.4,84.0
2021-06-30 06:40:09,-6,CUEN,STOCK,7.985,-47.910000000000004
2021-06-30 06:39:42,5,CUEN,STOCK,7.92,39.6
2021-06-30 06:38:52,1,CUEN,STOCK,7.58,7.58
2021-06-30 06:34:55,-2,CUEN,STOCK,7.51,-15.02
2021-06-30 06:34:43,-10,CUEN,STOCK,8.6,-86.0
2021-06-30 06:34:38,-10,CUEN,STOCK,8.58,-85.8
2021-06-30 06:34:37,-15,CUEN,STOCK,8.58,-128.7
2021-06-30 06:34:26,25,CUEN,STOCK,8.2468,206.17000000000002
2021-06-30 06:33:37,10,CUEN,STOCK,7.846,78.46000000000001
2021-06-30 06:32:01,2,CUEN,STOCK,8.015,16.03
2021-06-29 08:41:20,-10,MRIN,STOCK,12.81,-128.1
2021-06-29 08:41:08,10,MRIN,STOCK,13.75,137.5
2021-06-29 08:24:41,-5,MRIN,STOCK,12.63,-63.150000000000006
2021-06-29 08:24:30,5,MRIN,STOCK,12.48,62.400000000000006
2021-06-29 07:49:43,-1,CERE,STOCK,26.67,-26.67
2021-06-29 07:49:15,-2,CERE,STOCK,26.925,-53.85
2021-06-29 07:48:48,2,CERE,STOCK,26.58,53.16
2021-06-29 07:48:19,1,CERE,STOCK,26.34,26.34
2021-06-29 07:36:31,-5,CERE,STOCK,25.19,-125.95
2021-06-29 07:33:33,5,CERE,STOCK,24.79,123.94999999999999
2021-06-29 07:32:01,-1,CERE,STOCK,24.03,-24.03
2021-06-29 07:31:12,1,CERE,STOCK,24.28,24.28
2021-06-29 07:05:37,-5,CERE,STOCK,24.98,-124.9
2021-06-29 07:05:18,-10,CERE,STOCK,24.72,-247.2
2021-06-29 07:04:30,10,CERE,STOCK,23.78,237.8
2021-06-29 07:04:12,5,CERE,STOCK,23.842,119.21
