,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
BNGO,-,-,-0.28,0.30%,278.85M,3.47%,1.72B,-,-16.70%,0.00%,275.80M,-17.66%,-40.50M,-,-0.04,16.50%,18.89%,-3.08%,10.50M,163.59,80.20%,6.30%,2.49,-39.08%,1.37,4.36,-31.60%,-,667.35%,1.26,4.74,-,-38.80%,0.47 - 15.69,93.83%,-,-,-,-75.10%,-62.87%,-,-,51.20,-,33.60%,1130.20%,0.46,147,51.60,190.90%,-,39.78,7.49% 7.26%,Yes,0.00,87.20%,-,0.36,5.97,Yes,0.04,May 13 AMC,-,20.90M,5.82,1.20,-10.60%,-11.91%,3.53%,5617930,-2.43%
CHEK,-,-,-0.35,10.71%,68.07M,0.90%,109.91M,-,0.00%,0.00%,63.31M,-32.93%,-14.00M,-,-0.05,3.90%,6.70%,-28.21%,-,-,73.70%,-0.05%,1.36,-33.73%,0.47,2.38,-57.50%,-,85.43%,0.34,3.26,-,-66.80%,0.24 - 4.49,143.48%,-,-,48.30%,-,-75.08%,0.22,-,10.20,-,-,360.49%,0.08,65,10.20,-,-,35.41,4.03% 7.39%,No,0.00,84.80%,-,0.30,1.12,Yes,0.00,-,-,3.12M,1.12,2.50,-7.48%,-21.55%,-7.39%,683310,-0.09%
CTXR,-,-,-0.38,9.09%,135.47M,-1.04%,270.90M,6.16,203.30%,0.00%,123.17M,-52.01%,-21.10M,-,-0.07,13.70%,17.37%,7.30%,-,-,42.00%,3.08%,2.13,51.59%,1.30,1.47,-33.40%,-,30.82%,0.73,2.61,-,-39.60%,0.78 - 4.56,87.25%,-,-,20.00%,-,-58.20%,1.59,-,35.20,-,-,144.40%,0.29,10,35.20,-,-,35.99,7.21% 10.52%,Yes,0.00,66.70%,-,0.26,1.91,Yes,0.00,-,-,10.03M,1.91,2.00,-19.92%,-25.71%,10.68%,1941310,-0.19%
DBGI,-,-,-,21.20%,10.99M,4.16%,57.81M,-,-,0.00%,5.89M,28.61%,-,-,-,0.90%,12.27%,-,5.24M,11.03,-89.70%,-,0.12,-,-,-,-,-,-,0.06,82.58,-,-,2.80 - 8.80,54.71%,-,-,-,-106.50%,-40.68%,-,-,0.10,-,-,86.43%,0.92,9,0.10,-3.70%,-,54.42,10.84% 22.94%,No,-,-,-,0.39,5.26,Yes,-,Jun 28 BMO,-,5.88M,5.22,-,-1.59%,25.25%,25.25%,1672794,-0.76%
METX,-,-,-1.06,32.92%,55.66M,-26.13%,75.76M,-,-,0.00%,42.61M,-48.56%,-61.00M,-,-,6.60%,5.27%,-71.45%,142.50M,0.53,-,-,0.29,-75.37%,-1.09,-,-33.60%,-,-95.65%,-,-,-,119.40%,0.50 - 11.73,-74.88%,-,-,-,-313.80%,-95.98%,-,-,0.20,-,35.20%,-5.76%,0.06,3721,0.20,13.80%,-45.10%,17.29,10.62% 7.22%,No,-,26.80%,-42.80%,0.55,0.50,Yes,-,May 20 BMO,-,7.77M,0.47,-,-41.83%,-51.10%,-77.47%,3126590,-6.21%
HOTH,-,-,-0.66,16.48%,23.87M,0.72%,33.19M,-,23.40%,0.00%,18.83M,-14.72%,-9.60M,-,-0.17,14.60%,0.93%,-9.15%,-,-,30.70%,-31.99%,0.14,-40.09%,1.13,1.23,-97.30%,-,-51.23%,0.85,1.63,-,-104.70%,1.27 - 3.50,-41.35%,-,-,-,-,-61.10%,-,-,27.00,-,-,7.53%,0.07,3,27.00,-,-,38.33,3.57% 4.52%,No,0.00,-35.30%,-,0.18,1.39,Yes,0.00,-,-,1.23M,1.36,2.00,-7.03%,-9.03%,-25.09%,166295,-2.04%
TIRX,-,-,-,28.05%,11.62M,-18.00%,46.62M,-,-,0.00%,2.59M,-39.70%,-,-,-,7.22%,4.41%,-65.43%,3.25M,14.35,-,-,0.07,-,-,-,-,-,-,-,-,-,-,3.98 - 103.87,-84.27%,-,-,-,-,-95.64%,-,-,-,-,-,13.82%,0.49,64,-,176.50%,-,31.55,7.92% 8.26%,No,-,-,-,1.44,4.01,Yes,-,-,-,1.76M,4.53,-,-16.99%,-37.73%,-85.08%,1858491,12.97%
EYES,-,-,-0.40,35.63%,23.54M,9.26%,165.98M,-,-,0.00%,17.96M,-19.81%,-8.80M,-,-,17.60%,14.50%,-44.34%,-,-,68.30%,88.65%,0.42,112.89%,0.89,4.64,-86.40%,-,358.84%,0.67,6.17,-,-154.00%,0.69 - 20.00,120.86%,-,-,30.60%,-,-79.95%,3.39,-,-,-,-,480.67%,0.47,12,4.00,-,-,38.04,13.43% 8.65%,Yes,0.10,78.70%,-,0.30,4.13,Yes,0.00,-,-,6.15M,4.01,2.00,-7.29%,-23.28%,-5.36%,1341124,-2.90%
ODT,-,-,-3.79,3.52%,37.40M,11.30%,144.81M,-,93.00%,0.00%,16.49M,12.94%,-130.00M,-,-0.33,89.20%,7.59%,13.27%,-,-,5.00%,1.89%,1.26,-81.01%,2.82,1.36,-80.90%,3.67,-89.83%,3.53,1.09,-,-101.40%,2.80 - 41.75,-80.00%,-,-,-,-,-91.45%,0.33,-,4.10,-,-,27.50%,0.21,137,4.10,-,-,48.53,5.83% 5.95%,Yes,0.00,8.40%,-,0.25,3.84,Yes,0.00,-,-,995.70K,3.57,3.20,-0.63%,1.22%,-69.65%,182728,-7.03%
SSY,-,9.69,0.26,10.70%,6.91M,4.60%,17.90M,-,-,-58.22%,4.54M,-13.19%,1.80M,-,-,15.60%,8.95%,21.95%,41.00M,0.44,69.80%,-,0.18,62.34%,2.31,1.08,5.40%,2.35,174.73%,1.55,1.61,-,10.20%,0.83 - 7.62,96.85%,-,4.59,-29.50%,-4.40%,-65.22%,1.09,-,1.90,-8.30%,61.30%,218.93%,0.20,1376,2.20,-22.80%,5.10%,48.55,6.12% 8.32%,No,0.21,-935.90%,3.70%,0.08,2.50,Yes,0.13,-,0.00%,2.21M,2.65,-,-1.47%,-8.13%,28.95%,127356,6.00%
