volume,low,high,open,close,date
400,3739.8,3743.42,3740,3742.73,2021-01-04
220,3727.01,3742.73,3742.73,3735.39,2021-01-05
152,3735.39,3742.65,3735.39,3742.65,2021-01-06
466,3742.65,3752.39,3742.65,3752.39,2021-01-07
606,3740.34,3752.39,3752.39,3741.37,2021-01-11
251,3728.8,3742.82,3741.37,3728.8,2021-01-12
367,3726.04,3732.59,3728.8,3728.49,2021-01-13
196,3715.7,3728.49,3728.49,3715.7,2021-01-14
221,3711.36,3720.61,3715.7,3720.61,2021-01-15
301,3720.61,3731.14,3720.61,3731.14,2021-01-19
371,3727.47,3742.76,3731.14,3741.76,2021-01-20
166,3717.97,3757.32,3741.76,3717.97,2021-01-21
150,3717.97,3731.55,3717.97,3731.55,2021-01-22
185,3731.55,3740.8,3731.55,3740.8,2021-01-25
226,3740.8,3754.37,3740.8,3753.07,2021-01-26
127,3748.61,3761.14,3753.07,3761.14,2021-01-27
177,3757.97,3769.08,3761.14,3769.08,2021-01-28
119,3759.27,3784.38,3769.08,3784.38,2021-01-29
289,3777.06,3806.08,3784.38,3806.08,2021-02-01
78,3802.3,3816.83,3806.08,3816.83,2021-02-02
203,3816.83,3831.75,3816.83,3831.75,2021-02-03
55,3830.49,3843.0,3831.75,3843.0,2021-02-04
159,3842.73,3861.85,3843.0,3861.85,2021-02-05
100,3860.63,3872.29,3861.85,3862.26,2021-02-08
135,3856.44,3872.84,3862.26,3872.84,2021-02-09
14,3867.0,3886.13,3872.84,3886.0,2021-02-10
407,3838.7,3886.0,3886.0,3838.7,2021-02-11
107,3836.84,3864.27,3838.7,3864.27,2021-02-12
122,3848.52,3870.67,3864.27,3848.52,2021-02-16
37,3848.52,3878.16,3848.52,3878.16,2021-02-17
49,3860.08,3890.43,3878.16,3889.73,2021-02-18
51,3889.46,3906.03,3889.73,3906.03,2021-02-19
126,3875.27,3910.23,3906.03,3887.65,2021-02-22
80,3880.79,3895.4,3887.65,3885.24,2021-02-23
50,3884.75,3897.53,3885.24,3897.53,2021-02-24
32,3892.55,3910.64,3897.53,3892.55,2021-02-25
35,3886.35,3898.05,3892.55,3898.05,2021-02-26
146,3882.44,3904.76,3898.05,3882.44,2021-03-01
27,3791.53,3882.44,3882.44,3792.88,2021-03-02
36,3788.08,3816.54,3792.88,3816.34,2021-03-03
59,3752.15,3818.58,3816.34,3752.15,2021-03-04
182,3745.7,3772.68,3752.15,3772.68,2021-03-05
106,3764.93,3775.75,3772.68,3774.1,2021-03-08
154,3771.65,3792.16,3774.1,3785.75,2021-03-09
51,3785.64,3803.64,3785.75,3803.24,2021-03-10
106,3803.24,3815.86,3803.24,3813.81,2021-03-11
