trade_num,ticker,profit_loss,cap,time_duration,positions,day,week,date,volume,entry,exit,Market Cap,Short Float,Shs Float,Market Category
0,SBEV,1.02,304.98,161,2,4,02,2022-01-14,100,06:45:50,06:46:51,62.28M,2.22%,22.26M,micro
1,ATIP,-4.96,727.0,141,4,4,02,2022-01-14,50,06:41:39,06:42:42,599.70M,1.96%,193.05M,small
2,ATIP,-9.95,362.96,214,2,4,02,2022-01-14,100,06:37:52,06:39:42,599.70M,1.96%,193.05M,small
3,ATIP,-4.2,718.84,26,3,4,02,2022-01-14,100,06:37:01,06:37:25,599.70M,1.96%,193.05M,small
4,ATIP,-7.57,364.87,166,2,4,02,2022-01-14,100,06:32:54,06:33:52,599.70M,1.96%,193.05M,small
5,TKAT,-2.66,66.58,99,2,3,02,2022-01-13,15,06:50:38,06:51:01,75.79M,6.52%,6.42M,micro
6,BTCS,-7.13,203.25,73,2,3,02,2022-01-13,25,06:43:28,06:43:45,68.66M,0.98%,5.94M,micro
7,BTCS,-4.2,122.7,60,2,3,02,2022-01-13,15,06:35:17,06:35:43,68.66M,0.98%,5.94M,micro
8,ISPC,1.0,73.1,116,2,3,02,2022-01-13,10,06:32:48,06:33:08,90.35M,0.46%,5.23M,micro
9,IMMX,23.02,1465.99,138,6,2,02,2022-01-12,100,06:43:51,06:44:27,45.04M,-,4.19M,nano
10,IMMX,-4.61,1424.74,37,4,2,02,2022-01-12,100,06:39:07,06:39:30,45.04M,-,4.19M,nano
11,HUDI,9.12,624.0,245,4,1,02,2022-01-11,15,08:32:56,08:35:09,140.42M,0.47%,3.12M,micro
12,HUDI,-19.25,320.83,52,2,1,02,2022-01-11,15,08:24:18,08:24:34,140.42M,0.47%,3.12M,micro
13,HUDI,24.94,524.56,166,2,1,02,2022-01-11,25,08:21:46,08:23:00,140.42M,0.47%,3.12M,micro
14,HUDI,12.3,162.9,185,2,1,02,2022-01-11,10,08:05:38,08:07:27,140.42M,0.47%,3.12M,micro
15,HUDI,-1.72,122.92,223,2,1,02,2022-01-11,10,07:27:45,07:29:58,140.42M,0.47%,3.12M,micro
16,HUDI,-1.0,335.25,107,4,1,02,2022-01-11,25,07:25:22,07:26:25,140.42M,0.47%,3.12M,micro
17,HUDI,-13.77,118.82,128,4,1,02,2022-01-11,5,07:14:09,07:15:59,140.42M,0.47%,3.12M,micro
18,HUDI,-5.2,59.95,109,2,1,02,2022-01-11,5,07:13:52,07:13:57,140.42M,0.47%,3.12M,micro
19,TSRI,-10.2,197.7,138,2,1,02,2022-01-11,15,06:40:59,06:41:19,17.15M,1.98%,0.81M,nano
20,TSRI,-11.68,347.18,32,2,1,02,2022-01-11,25,06:30:09,06:30:23,17.15M,1.98%,0.81M,nano
21,BBLG,57.07,1261.93,151,5,0,02,2022-01-10,100,07:35:44,07:36:47,36.29M,1.25%,3.09M,nano
22,BBLG,-18.23,1253.49,43,10,0,02,2022-01-10,50,07:23:37,07:23:06,36.29M,1.25%,3.09M,nano
23,EAR,-3.3,127.05,72,2,3,01,2022-01-06,15,06:30:27,06:30:45,285.82M,5.72%,33.92M,micro
24,DTST,-11.21,613.72,91,2,2,01,2022-01-05,125,06:54:18,06:55:13,33.49M,1.73%,2.05M,nano
25,DTST,-26.21,617.49,87,3,2,01,2022-01-05,125,06:49:19,06:50:08,33.49M,1.73%,2.05M,nano
26,DTST,-13.74,623.74,30,2,2,01,2022-01-05,125,06:48:11,06:48:19,33.49M,1.73%,2.05M,nano
27,DTST,-13.71,616.22,83,2,2,01,2022-01-05,125,06:47:36,06:47:47,33.49M,1.73%,2.05M,nano
28,DTST,25.01,588.74,18,4,2,01,2022-01-05,125,06:45:00,06:45:18,33.49M,1.73%,2.05M,nano
29,NLSP,-5.63,319.4,53,2,1,01,2022-01-04,150,07:14:16,07:14:37,35.60M,0.31%,12.07M,nano
30,IMMX,-1.57,115.49,92,2,1,01,2022-01-04,15,06:40:42,06:40:50,45.04M,-,4.19M,nano
31,HOTH,7.18,153.99,388,3,1,01,2022-01-04,70,06:39:33,06:44:55,33.19M,0.93%,18.83M,nano
32,IMMX,-4.09,454.69,75,5,1,01,2022-01-04,8,06:34:16,06:34:59,45.04M,-,4.19M,nano
33,IMMX,40.54,372.0,636,2,0,01,2022-01-03,50,06:30:09,06:40:27,45.04M,-,4.19M,nano
34,IMMX,-1.0,340.0,58,2,0,01,2022-01-03,50,06:25:18,06:25:40,45.04M,-,4.19M,nano
35,NTRB,15.5,385.0,359,2,4,52,2021-12-31,50,06:40:22,06:45:37,47.26M,-,4.60M,nano
36,NTRB,5.5,519.75,65,4,4,52,2021-12-31,25,06:37:27,06:37:38,47.26M,-,4.60M,nano
37,NTRB,-7.87,351.87,71,2,4,52,2021-12-31,50,06:32:32,06:32:39,47.26M,-,4.60M,nano
38,NTRB,-0.25,173.5,127,2,4,52,2021-12-31,25,06:28:49,06:29:18,47.26M,-,4.60M,nano
39,EFOI,0.38,147.5,135,2,3,52,2021-12-30,25,07:08:46,07:09:29,21.06M,24.12%,4.53M,nano
40,ISIG,-2.65,293.95,79,2,3,52,2021-12-30,10,06:37:12,06:38:07,14.97M,2.60%,1.04M,nano
41,ISIG,167.72,1447.43,644,5,2,52,2021-12-29,5,06:30:12,06:40:32,14.97M,2.60%,1.04M,nano
42,ISIG,-10.51,347.11,221,5,1,52,2021-12-28,5,07:15:56,07:17:45,14.97M,2.60%,1.04M,nano
43,ISIG,-101.82,2118.82,92,2,1,52,2021-12-28,100,06:51:02,06:52:30,14.97M,2.60%,1.04M,nano
44,ISIG,-0.65,203.3,52,2,1,52,2021-12-28,10,06:49:07,06:49:45,14.97M,2.60%,1.04M,nano
45,ISIG,36.8,348.7,371,4,1,52,2021-12-28,10,06:30:27,06:35:44,14.97M,2.60%,1.04M,nano
46,MBOT,-18.0,700.5,161,2,0,52,2021-12-27,75,06:40:24,06:42:17,54.71M,1.26%,6.87M,micro
47,MBOT,-24.41,1077.65,9,6,0,52,2021-12-27,15,06:38:02,06:38:07,54.71M,1.26%,6.87M,micro
48,MBOT,23.2,921.0,110,6,0,52,2021-12-27,100,06:32:34,06:33:16,54.71M,1.26%,6.87M,micro
49,SOPA,60.7,1544.8,168,6,3,51,2021-12-23,25,07:05:50,07:06:58,255.45M,0.25%,11.26M,micro
50,SOPA,-15.23,996.48,94,3,3,51,2021-12-23,25,07:02:31,07:03:03,255.45M,0.25%,11.26M,micro
51,SOPA,-1.97,100.15,123,2,3,51,2021-12-23,5,06:52:40,06:53:23,255.45M,0.25%,11.26M,micro
52,SOPA,-1.25,97.15,53,2,3,51,2021-12-23,5,06:52:26,06:52:27,255.45M,0.25%,11.26M,micro
53,KTTA,-5.23,340.48,48,2,3,51,2021-12-23,150,06:42:17,06:42:31,73.98M,4.87%,5.42M,micro
54,KTTA,-8.7,342.0,162,2,3,51,2021-12-23,150,06:39:49,06:40:53,73.98M,4.87%,5.42M,micro
55,KTTA,1.19,220.0,110,2,3,51,2021-12-23,100,06:36:02,06:37:48,73.98M,4.87%,5.42M,micro
56,KTTA,-1.88,232.0,17,2,3,51,2021-12-23,100,06:34:04,06:34:13,73.98M,4.87%,5.42M,micro
57,BVXV,-3.96,166.0,95,2,2,51,2021-12-22,50,06:38:42,06:38:53,36.85M,2.29%,14.00M,nano
58,BVXV,30.2,603.94,168,4,2,51,2021-12-22,100,06:34:54,06:35:54,36.85M,2.29%,14.00M,nano
59,BVXV,-17.93,297.95,54,2,2,51,2021-12-22,100,06:33:16,06:33:38,36.85M,2.29%,14.00M,nano
60,BFRI,-21.45,601.94,150,2,2,51,2021-12-22,50,06:31:51,06:32:39,69.74M,46.68%,3.60M,micro
61,BFRI,31.28,933.78,0,8,1,51,2021-12-21,10,06:41:41,06:36:59,69.74M,46.68%,3.60M,micro
62,BFRI,-12.37,264.25,92,2,1,51,2021-12-21,25,06:33:37,06:33:55,69.74M,46.68%,3.60M,micro
63,SOPA,128.86,735.94,741,3,0,51,2021-12-20,100,07:38:48,07:49:33,255.45M,0.25%,11.26M,micro
64,SOPA,-10.07,736.08,105,2,0,51,2021-12-20,100,07:18:32,07:19:13,255.45M,0.25%,11.26M,micro
65,SOPA,-4.9,84.5,141,2,0,51,2021-12-20,10,07:06:59,07:07:22,255.45M,0.25%,11.26M,micro
66,ROIV,-9.9,162.9,82,2,0,51,2021-12-20,10,06:58:22,06:59:00,7.22B,0.41%,318.92M,mid
67,CANF,-0.49,233.99,150,2,0,51,2021-12-20,100,06:43:10,06:45:20,37.05M,2.07%,16.53M,nano
68,BLPH,-25.11,728.99,209,6,4,50,2021-12-17,100,06:43:50,06:45:39,28.40M,0.47%,9.12M,nano
69,ADGI,-4.05,227.25,31,2,3,50,2021-12-16,15,09:45:05,09:45:26,900.88M,7.96%,51.73M,small
70,ADGI,3.37,741.89,29,5,3,50,2021-12-16,24,09:35:04,09:35:25,900.88M,7.96%,51.73M,small
71,ADGI,34.26,2566.6,34,15,3,50,2021-12-16,25,09:31:06,09:31:28,900.88M,7.96%,51.73M,small
72,PTPI,-4.0,196.0,69,2,0,50,2021-12-13,50,06:52:11,06:52:58,31.33M,0.81%,6.71M,nano
73,PTPI,19.42,390.93,79,5,0,50,2021-12-13,25,06:47:17,06:48:02,31.33M,0.81%,6.71M,nano
74,FHTX,-11.85,562.35,40,4,0,50,2021-12-13,15,06:39:02,06:39:38,850.68M,5.28%,26.14M,small
75,BFRI,-3.5,160.0,149,2,0,50,2021-12-13,25,06:31:51,06:32:38,69.74M,46.68%,3.60M,micro
76,BFRI,-37.44,1299.46,41,3,4,49,2021-12-10,100,06:45:08,06:45:33,69.74M,46.68%,3.60M,micro
77,BFRI,-20.74,649.0,104,2,4,49,2021-12-10,100,06:43:29,06:44:15,69.74M,46.68%,3.60M,micro
78,BFRI,24.0,757.75,87,5,4,49,2021-12-10,25,06:41:25,06:42:02,69.74M,46.68%,3.60M,micro
79,IINN,-67.22,874.24,41,5,3,49,2021-12-09,50,06:48:08,06:48:33,42.59M,14.81%,5.16M,nano
80,IINN,-56.33,1196.35,26,5,3,49,2021-12-09,100,06:36:04,06:36:22,42.59M,14.81%,5.16M,nano
81,IINN,-2.8,60.2,114,2,3,49,2021-12-09,10,06:31:45,06:32:09,42.59M,14.81%,5.16M,nano
82,EFOI,-11.04,313.3,115,3,2,49,2021-12-08,50,06:52:19,06:53:36,21.06M,24.12%,4.53M,nano
83,EFOI,-14.37,316.63,130,3,2,49,2021-12-08,25,06:45:55,06:46:15,21.06M,24.12%,4.53M,nano
84,EFOI,-11.03,428.05,160,2,2,49,2021-12-08,100,06:38:46,06:39:54,21.06M,24.12%,4.53M,nano
85,EFOI,-1.92,213.5,12,2,2,49,2021-12-08,50,06:38:04,06:38:08,21.06M,24.12%,4.53M,nano
86,ISIG,12.5,323.25,122,2,2,49,2021-12-08,25,06:31:59,06:32:03,14.97M,2.60%,1.04M,nano
87,ISIG,-2.0,61.55,441,2,2,49,2021-12-08,5,06:13:38,06:19:43,14.97M,2.60%,1.04M,nano
88,SYTA,6.63,224.47,153,5,1,49,2021-12-07,10,07:26:49,07:27:44,14.10M,-,-,nano
89,SYTA,15.0,319.0,73,2,1,49,2021-12-07,50,06:59:16,06:59:57,14.10M,-,-,nano
90,SYTA,-1.22,318.59,132,4,1,49,2021-12-07,25,06:55:55,06:56:17,14.10M,-,-,nano
91,SYTA,15.0,624.0,109,3,1,49,2021-12-07,32,06:47:25,06:48:24,14.10M,-,-,nano
92,SYTA,-5.25,307.75,141,2,1,49,2021-12-07,50,06:45:14,06:47:07,14.10M,-,-,nano
93,SYTA,-1.98,612.98,127,2,1,49,2021-12-07,100,06:43:45,06:44:22,14.10M,-,-,nano
94,SYTA,7.5,138.5,110,2,1,49,2021-12-07,25,06:36:14,06:37:36,14.10M,-,-,nano
95,SYTA,22.15,514.1,61,4,1,49,2021-12-07,5,06:31:07,06:31:54,14.10M,-,-,nano
96,CYAD,-2.0,253.0,148,3,4,48,2021-12-03,30,06:43:55,06:44:33,nan,-,-,unknown
97,LGVN,-6.39,362.91,299,2,4,48,2021-12-03,15,06:36:53,06:40:06,225.58M,7.35%,2.91M,micro
98,LGVN,-3.0,752.13,47,4,4,48,2021-12-03,5,06:32:10,06:32:37,225.58M,7.35%,2.91M,micro
99,BFRI,-2.05,94.3,36,2,3,48,2021-12-02,15,07:30:13,07:30:23,69.74M,46.68%,3.60M,micro
100,BFRI,-0.8,59.9,131,2,3,48,2021-12-02,10,07:19:13,07:20:58,69.74M,46.68%,3.60M,micro
101,BFRI,1.13,148.99,105,2,3,48,2021-12-02,25,06:53:20,06:54:25,69.74M,46.68%,3.60M,micro
102,CFVIW,-1.9,48.0,98,2,3,48,2021-12-02,10,06:32:40,06:32:58,nan,,,unknown
103,CFVIW,-1.9,25.65,127,2,3,48,2021-12-02,5,06:30:53,06:31:14,nan,,,unknown
104,CNTX,-1.5,222.75,66,2,2,48,2021-12-01,25,07:06:19,07:06:47,7.28M,17.19%,0.28M,nano
105,OP,-3.0,248.5,43,2,2,48,2021-12-01,25,07:05:13,07:05:30,nan,-,-,unknown
