,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,6/22/21 07:17:46,STOCK,SELL,-5,TO CLOSE,ALF,,,STOCK,11.8001,11.80,LMT
,6/22/21 07:17:34,STOCK,BUY,+5,TO OPEN,ALF,,,STOCK,11.6399,11.64,LMT
,6/22/21 07:12:48,STOCK,SELL,-5,TO CLOSE,CLOV,,,STOCK,13.74,13.74,LMT
,6/22/21 07:12:44,STOCK,SELL,-5,TO CLOSE,CLOV,,,STOCK,13.6511,13.652,LMT
,6/22/21 07:12:27,STOCK,BUY,+10,TO OPEN,CLOV,,,STOCK,13.4496,13.45,MKT
,6/22/21 07:09:19,STOCK,SELL,-10,TO CLOSE,CLOV,,,STOCK,13.2309,13.231,MKT
,6/22/21 07:06:36,STOCK,BUY,+10,TO OPEN,CLOV,,,STOCK,13.28,13.28,LMT
,6/22/21 07:04:16,STOCK,SELL,-10,TO CLOSE,ADIL,,,STOCK,3.58,3.58,MKT
,6/22/21 07:01:31,STOCK,BUY,+10,TO OPEN,ADIL,,,STOCK,3.765,3.765,MKT
,6/22/21 06:50:54,STOCK,SELL,-10,TO CLOSE,CLOV,,,STOCK,12.98,12.98,LMT
,6/22/21 06:50:17,STOCK,BUY,+10,TO OPEN,CLOV,,,STOCK,12.84,12.84,LMT
,6/22/21 06:44:15,STOCK,SELL,-11,TO CLOSE,CLOV,,,STOCK,12.5601,12.56,MKT
,6/22/21 06:42:41,STOCK,BUY,+10,TO OPEN,CLOV,,,STOCK,12.7599,12.76,LMT
,6/22/21 06:42:11,STOCK,BUY,+1,TO OPEN,CLOV,,,STOCK,12.6899,12.69,MKT
,6/21/21 06:42:35,STOCK,SELL,-50,TO CLOSE,TRCH,,,STOCK,9.311,9.311,MKT
,6/21/21 06:42:14,STOCK,SELL,-50,TO CLOSE,TRCH,,,STOCK,9.6801,9.68,LMT
,6/21/21 06:41:46,STOCK,BUY,+50,TO OPEN,TRCH,,,STOCK,9.2799,9.28,LMT
,6/21/21 06:41:25,STOCK,BUY,+50,TO OPEN,TRCH,,,STOCK,9.1999,9.20,LMT
,6/21/21 06:39:24,STOCK,SELL,-36,TO CLOSE,TRCH,,,STOCK,8.9338,8.93389,MKT
,6/21/21 06:37:30,STOCK,BUY,+25,TO OPEN,TRCH,,,STOCK,9.30,9.30,LMT
,6/21/21 06:36:39,STOCK,BUY,+10,TO OPEN,TRCH,,,STOCK,9.18,9.18,MKT
,6/21/21 06:35:42,STOCK,BUY,+1,TO OPEN,TRCH,,,STOCK,9.2799,9.28,MKT
,6/18/21 07:58:06,STOCK,SELL,-10,TO CLOSE,WISH,,,STOCK,11.80,11.80,MKT
,6/18/21 07:56:37,STOCK,BUY,+10,TO OPEN,WISH,,,STOCK,11.86,11.86,LMT
,6/18/21 07:14:44,STOCK,SELL,-10,TO CLOSE,WAFU,,,STOCK,9.52,9.52,LMT
,6/18/21 07:13:20,STOCK,BUY,+10,TO OPEN,WAFU,,,STOCK,9.24,9.24,LMT
,6/18/21 07:09:52,STOCK,SELL,-5,TO CLOSE,WAFU,,,STOCK,9.30,9.30,LMT
,6/18/21 07:09:34,STOCK,BUY,+5,TO OPEN,WAFU,,,STOCK,9.0599,9.06,LMT
,6/18/21 06:40:17,STOCK,SELL,-20,TO CLOSE,CLNE,,,STOCK,11.9401,11.94,MKT
,6/18/21 06:38:12,STOCK,BUY,+10,TO OPEN,CLNE,,,STOCK,11.96,11.96,LMT
,6/18/21 06:38:11,STOCK,BUY,+10,TO OPEN,CLNE,,,STOCK,11.99,11.99,LMT
,6/17/21 06:44:51,STOCK,SELL,-10,TO CLOSE,CLSD,,,STOCK,5.91,5.91,MKT
,6/17/21 06:44:50,STOCK,SELL,-50,TO CLOSE,CLSD,,,STOCK,5.92,5.92,LMT
,6/17/21 06:43:26,STOCK,BUY,+50,TO OPEN,CLSD,,,STOCK,5.7193,5.7192,LMT
,6/17/21 06:43:19,STOCK,BUY,+7,TO OPEN,CLSD,,,STOCK,5.70,5.70,LMT
,6/17/21 06:43:19,STOCK,BUY,+3,TO OPEN,CLSD,,,STOCK,5.70,5.70,LMT
,6/17/21 06:42:11,STOCK,SELL,-6,TO CLOSE,APOP,,,STOCK,5.2107,5.21,MKT
,6/17/21 06:39:26,STOCK,BUY,+5,TO OPEN,APOP,,,STOCK,5.6498,5.65,MKT
,6/17/21 06:35:23,STOCK,BUY,+1,TO OPEN,APOP,,,STOCK,5.56,5.56,MKT
,6/17/21 06:33:01,STOCK,SELL,-1,TO CLOSE,APOP,,,STOCK,6.16,6.16,LMT
,6/17/21 06:32:28,STOCK,BUY,+1,TO OPEN,APOP,,,STOCK,5.665,5.66,MKT
,6/16/21 06:43:31,STOCK,SELL,-100,TO CLOSE,APRE,,,STOCK,7.79,7.79,LMT
,6/16/21 06:42:14,STOCK,BUY,+50,TO OPEN,APRE,,,STOCK,7.36,7.36,LMT
,6/16/21 06:42:13,STOCK,BUY,+50,TO OPEN,APRE,,,STOCK,7.36,7.36,LMT
,6/16/21 06:39:06,STOCK,SELL,-63,TO CLOSE,APRE,,,STOCK,7.11,7.11,MKT
,6/16/21 06:38:04,STOCK,BUY,+50,TO OPEN,APRE,,,STOCK,7.4563,7.4564,LMT
,6/16/21 06:37:10,STOCK,BUY,+10,TO OPEN,APRE,,,STOCK,7.26,7.26,MKT
,6/16/21 06:35:02,STOCK,BUY,+2,TO OPEN,APRE,,,STOCK,7.32,7.32,MKT
,6/16/21 06:32:08,STOCK,BUY,+1,TO OPEN,APRE,,,STOCK,7.445,7.44,MKT
,6/15/21 07:11:53,STOCK,SELL,-10,TO CLOSE,ALF,,,STOCK,6.39,6.39,LMT
,6/15/21 07:11:04,STOCK,BUY,+10,TO OPEN,ALF,,,STOCK,6.31,6.31,MKT
,6/15/21 06:51:15,STOCK,SELL,-5,TO CLOSE,ALF,,,STOCK,6.29,6.29,LMT
,6/15/21 06:51:10,STOCK,SELL,-10,TO CLOSE,ALF,,,STOCK,6.3001,6.30,LMT
,6/15/21 06:50:44,STOCK,BUY,+10,TO OPEN,ALF,,,STOCK,6.14,6.14,MKT
,6/15/21 06:50:20,STOCK,BUY,+5,TO OPEN,ALF,,,STOCK,5.955,5.956,MKT
,6/15/21 06:47:18,STOCK,SELL,-25,TO CLOSE,ALF,,,STOCK,6.0701,6.07,LMT
,6/15/21 06:47:10,STOCK,BUY,+25,TO OPEN,ALF,,,STOCK,5.9485,5.9484,LMT
,6/15/21 06:41:47,STOCK,SELL,-10,TO CLOSE,ALF,,,STOCK,5.57,5.57,LMT
,6/15/21 06:41:42,STOCK,BUY,+10,TO OPEN,ALF,,,STOCK,5.3498,5.35,MKT
,6/15/21 06:40:01,STOCK,SELL,-50,TO CLOSE,ALF,,,STOCK,5.19,5.19,LMT
,6/15/21 06:39:47,STOCK,SELL,-25,TO CLOSE,ALF,,,STOCK,5.18,5.18,LMT
